app_id,title,release_date,release_year,game_age_years,age_bucket,genres_clean,main_genre,categories_clean,developer,publisher,original_price_clean,discount_pct_clean,discounted_price_clean,final_price,is_free_to_play,is_on_sale,dlc_available,has_dlc,age_rating,age_rating_category,win_support,mac_support,linux_support,multi_platform,awards,is_early_access,overall_review,overall_review_pct,overall_review_count,log_overall_review_count,recent_review,recent_review_pct,recent_review_count,log_recent_review_count
386990,Asphyxia,2015-08-04,2015.0,9.409993155373032,5-10y,indie;simulation,indie,"single-player, steam achievements, steam trading cards, family sharing",ebi-hime,ebi-hime,,,299.0,299.0,False,False,0,False,0,All Ages,True,False,True,True,0,False,Very Positive,85.0,113.0,4.736198448394496,,,,0.0
292030,The Witcher® 3: Wild Hunt,2015-05-18,2015.0,9.623545516769337,5-10y,rpg,rpg,"single-player, steam achievements, steam trading cards, steam workshop, steam cloud, remote play on tablet, remote play on tv, family sharing",CD PROJEKT RED,CD PROJEKT RED,1699.0,75.0,425.0,425.0,False,True,22,True,1,7+,True,False,False,False,2,False,Overwhelmingly Positive,96.0,706971.0,13.468746340134055,Overwhelmingly Positive,95.0,3950.0,8.281723990411392
331460,ROOMS: The Toymaker's Mansion,2015-05-01,2015.0,9.67008898015058,5-10y,adventure;casual;indie,adventure,"single-player, steam achievements, tracked controller support, vr supported, steam trading cards, steam cloud, family sharing",HandMade Game,HandMade Game,,,400.0,400.0,False,False,1,True,0,All Ages,True,True,True,True,1,False,Very Positive,89.0,91.0,4.5217885770490405,,,,0.0
271590,Grand Theft Auto V,2015-04-13,2015.0,9.71937029431896,5-10y,action;adventure,action,"single-player, online pvp, online co-op, steam achievements, remote play on phone, remote play on tablet, remote play on tv",Rockstar North,Rockstar Games,2638.0,64.0,952.0,952.0,False,True,1,True,1,7+,True,False,False,False,2,False,Very Positive,87.0,1640234.0,14.310350082217893,Very Positive,91.0,15926.0,9.675771061251782
302330,Tex Murphy: Mean Streets,2014-06-12,2014.0,10.55441478439425,10y+,action;adventure,action,"single-player, family sharing",Access Software,Nightdive Studios,,,299.0,299.0,False,False,0,False,0,All Ages,True,True,True,True,0,False,Mostly Positive,73.0,49.0,3.912023005428146,,,,0.0
296220,Farm Frenzy 4,2014-04-29,2014.0,10.674880219028063,10y+,adventure;casual;strategy,adventure,"single-player, steam achievements, steam trading cards, captions available, steam cloud, family sharing",Alawar Entertainment,ESDigital Games,,,345.0,345.0,False,False,0,False,0,All Ages,True,True,False,True,0,False,Mostly Positive,79.0,355.0,5.87493073085203,,,,0.0
570,Dota 2,2013-07-09,2013.0,11.4798083504449,10y+,action;strategy;free to play,action,"steam trading cards, steam workshop, steamvr collectibles, in-app purchases, valve anti-cheat enabled",Valve,Valve,,,0.0,0.0,True,False,2,True,0,All Ages,True,True,True,True,0,False,Very Positive,81.0,2243112.0,14.623375191190124,Mostly Positive,72.0,23395.0,10.060320346562916
230410,Warframe,2013-03-25,2013.0,11.770020533880905,10y+,action;rpg;free to play,action,"single-player, online co-op, steam achievements, steam trading cards, steam workshop, in-app purchases, remote play on phone, remote play on tablet",Digital Extremes,Digital Extremes,,,0.0,0.0,True,False,11,True,1,7+,True,False,False,False,6,False,Very Positive,87.0,576232.0,13.264267371773231,Very Positive,87.0,4216.0,8.34687925374656
227300,Euro Truck Simulator 2,2012-10-12,2012.0,12.219028062970567,10y+,indie;simulation,indie,"single-player, online co-op, steam achievements, steam trading cards, steam workshop, steam cloud, includes level editor, remote play on phone, remote play on tablet, remote play together, family sharing",SCS Software,SCS Software,920.0,75.0,230.0,230.0,False,True,89,True,0,All Ages,True,True,True,True,3,False,Overwhelmingly Positive,97.0,565138.0,13.244826997570302,Overwhelmingly Positive,95.0,6869.0,8.834919385216395
730,Counter-Strike 2,2012-08-21,2012.0,12.361396303901437,10y+,action;free to play,action,"cross-platform multiplayer, steam trading cards, steam workshop, in-app purchases, valve anti-cheat enabled, stats, remote play on phone, remote play on tablet, remote play on tv",Valve,Valve,,,0.0,0.0,True,False,1,True,0,All Ages,True,False,True,True,1,False,Very Positive,87.0,8062218.0,15.902699386765615,Mostly Positive,79.0,57466.0,10.958966148990834
105600,Terraria,2011-05-16,2011.0,13.6290212183436,10y+,action;adventure;indie;rpg,action,"single-player, online pvp, online co-op, steam achievements, steam trading cards, steam cloud, remote play on phone, remote play on tablet, remote play on tv, family sharing",Re-Logic,Re-Logic,,,480.0,480.0,False,False,2,True,0,All Ages,True,True,True,True,1,False,Overwhelmingly Positive,97.0,1024921.0,13.840127070098104,Overwhelmingly Positive,96.0,8953.0,9.09985563880091
550,Left 4 Dead 2,2009-11-16,2009.0,15.123887748117728,10y+,action,action,"single-player, online pvp, online co-op, steam achievements, steam trading cards, captions available, steam workshop, steam cloud, valve anti-cheat enabled, stats, includes source sdk, commentary available, remote play on phone, remote play on tablet, remote play on tv, remote play together, family sharing",Valve,Valve,,,480.0,480.0,False,False,0,False,0,All Ages,True,True,True,True,0,False,Overwhelmingly Positive,97.0,642763.0,13.373532906298935,Overwhelmingly Positive,96.0,5789.0,8.663887570567042
40320,Rush for Berlin Gold,2009-10-29,2009.0,15.173169062286105,10y+,strategy,strategy,"single-player, family sharing",Stormregion,THQ Nordic,,,259.0,259.0,False,False,0,False,0,All Ages,True,False,False,False,0,False,Very Positive,86.0,142.0,4.962844630259907,,,,0.0
440,Team Fortress 2,2007-10-10,2007.0,17.22655715263518,10y+,action;free to play,action,"cross-platform multiplayer, steam achievements, steam trading cards, captions available, steam workshop, in-app purchases, valve anti-cheat enabled, stats, includes level editor, commentary available, remote play on phone, remote play on tablet",Valve,Valve,,,0.0,0.0,True,False,1,True,0,All Ages,True,True,True,True,0,False,Very Positive,93.0,1045851.0,13.86034242220036,Very Positive,89.0,6304.0,8.74909824839902
4000,Garry's Mod,2006-11-29,2006.0,18.088980150581797,10y+,casual;indie;simulation,casual,"single-player, online pvp, lan pvp, online co-op, lan co-op, cross-platform multiplayer, steam achievements, steam trading cards, captions available, steam workshop, steam cloud, valve anti-cheat enabled, includes level editor, includes source sdk, remote play on tablet, family sharing",Facepunch Studios,Valve,,,399.0,399.0,False,False,0,False,0,All Ages,True,True,True,True,0,False,Overwhelmingly Positive,96.0,917455.0,13.729359901357649,Overwhelmingly Positive,95.0,7092.0,8.866863661202087
